Hugo_Symbol	Tumor_Sample_Barcode
NADK	TCGA-CH-5739-01
TMEM201	TCGA-CH-5739-01
UBE4B	TCGA-CH-5739-01
PLOD1	TCGA-CH-5739-01
VPS13D	TCGA-CH-5739-01
PRAMEF12	TCGA-CH-5739-01
FBXO42	TCGA-CH-5739-01
NBPF1	TCGA-CH-5739-01
KLHDC7A	TCGA-CH-5739-01
PQLC2	TCGA-CH-5739-01
PQLC2	TCGA-CH-5739-01
HMGCL	TCGA-CH-5739-01
STMN1	TCGA-CH-5739-01
UBXN11	TCGA-CH-5739-01
ARID1A	TCGA-CH-5739-01
SLC9A1	TCGA-CH-5739-01
PTAFR	TCGA-CH-5739-01
SNORA73B	TCGA-CH-5739-01
CSMD2	TCGA-CH-5739-01
TEKT2	TCGA-CH-5739-01
MANEAL	TCGA-CH-5739-01
INPP5B	TCGA-CH-5739-01
MACF1	TCGA-CH-5739-01
MACF1	TCGA-CH-5739-01
MACF1	TCGA-CH-5739-01
RLF	TCGA-CH-5739-01
ZFP69B	TCGA-CH-5739-01
HIVEP3	TCGA-CH-5739-01
CYP4X1	TCGA-CH-5739-01
STIL	TCGA-CH-5739-01
USP1	TCGA-CH-5739-01
IL12RB2	TCGA-CH-5739-01
RPE65	TCGA-CH-5739-01
GBP1	TCGA-CH-5739-01
LRRC8B	TCGA-CH-5739-01
ZNF644	TCGA-CH-5739-01
ABCA4	TCGA-CH-5739-01
AGL	TCGA-CH-5739-01
COL11A1	TCGA-CH-5739-01
AMY2B	TCGA-CH-5739-01
ATXN7L2	TCGA-CH-5739-01
AHCYL1	TCGA-CH-5739-01
SLC16A4	TCGA-CH-5739-01
CEPT1	TCGA-CH-5739-01
DCLRE1B	TCGA-CH-5739-01
AMPD1	TCGA-CH-5739-01
ATP1A1	TCGA-CH-5739-01
ATP1A1	TCGA-CH-5739-01
PTGFRN	TCGA-CH-5739-01
PTGFRN	TCGA-CH-5739-01
MAN1A2	TCGA-CH-5739-01
PDE4DIP	TCGA-CH-5739-01
SV2A	TCGA-CH-5739-01
PSMB4	TCGA-CH-5739-01
THEM4	TCGA-CH-5739-01
TCHHL1	TCGA-CH-5739-01
RPTN	TCGA-CH-5739-01
HRNR	TCGA-CH-5739-01
HRNR	TCGA-CH-5739-01
FLG	TCGA-CH-5739-01
FLG	TCGA-CH-5739-01
FLG	TCGA-CH-5739-01
FLG	TCGA-CH-5739-01
LCE2A	TCGA-CH-5739-01
LCE1C	TCGA-CH-5739-01
LCE1A	TCGA-CH-5739-01
NUP210L	TCGA-CH-5739-01
C1orf189	TCGA-CH-5739-01
ASH1L	TCGA-CH-5739-01
PMF1	TCGA-CH-5739-01
TMEM79	TCGA-CH-5739-01
FCRL5	TCGA-CH-5739-01
AIM2	TCGA-CH-5739-01
FCRL6	TCGA-CH-5739-01
TAGLN2	TCGA-CH-5739-01
COPA	TCGA-CH-5739-01
COPA	TCGA-CH-5739-01
CD48	TCGA-CH-5739-01
AL590714.1	TCGA-CH-5739-01
FAM78B	TCGA-CH-5739-01
ILDR2	TCGA-CH-5739-01
SELE	TCGA-CH-5739-01
ASTN1	TCGA-CH-5739-01
XPR1	TCGA-CH-5739-01
LAMC2	TCGA-CH-5739-01
APOBEC4	TCGA-CH-5739-01
PRG4	TCGA-CH-5739-01
TPR	TCGA-CH-5739-01
CRB1	TCGA-CH-5739-01
GPR37L1	TCGA-CH-5739-01
PPP1R15B	TCGA-CH-5739-01
CD46	TCGA-CH-5739-01
GPATCH2	TCGA-CH-5739-01
BPNT1	TCGA-CH-5739-01
LBR	TCGA-CH-5739-01
TRIM11	TCGA-CH-5739-01
CAPN9	TCGA-CH-5739-01
HEATR1	TCGA-CH-5739-01
MTR	TCGA-CH-5739-01
RYR2	TCGA-CH-5739-01
OR2G2	TCGA-CH-5739-01
OR2M5	TCGA-CH-5739-01
OR2T4	TCGA-CH-5739-01
WDR35	TCGA-CH-5739-01
CGREF1	TCGA-CH-5739-01
KRTCAP3	TCGA-CH-5739-01
IFT172	TCGA-CH-5739-01
CDC42EP3	TCGA-CH-5739-01
ATL2	TCGA-CH-5739-01
SRSF7	TCGA-CH-5739-01
ABCG8	TCGA-CH-5739-01
MSH6	TCGA-CH-5739-01
MSH6	TCGA-CH-5739-01
MSH6	TCGA-CH-5739-01
REL	TCGA-CH-5739-01
REL	TCGA-CH-5739-01
B3GNT2	TCGA-CH-5739-01
POLE4	TCGA-CH-5739-01
CD8A	TCGA-CH-5739-01
SEMA4C	TCGA-CH-5739-01
SEMA4C	TCGA-CH-5739-01
SLC9A4	TCGA-CH-5739-01
WDR33	TCGA-CH-5739-01
NCKAP5	TCGA-CH-5739-01
ZRANB3	TCGA-CH-5739-01
SPOPL	TCGA-CH-5739-01
SCN1A	TCGA-CH-5739-01
SCN9A	TCGA-CH-5739-01
XIRP2	TCGA-CH-5739-01
ABCB11	TCGA-CH-5739-01
TTN	TCGA-CH-5739-01
TTN	TCGA-CH-5739-01
TTN	TCGA-CH-5739-01
SSFA2	TCGA-CH-5739-01
COL3A1	TCGA-CH-5739-01
HECW2	TCGA-CH-5739-01
FAM126B	TCGA-CH-5739-01
MDH1B	TCGA-CH-5739-01
KLF7	TCGA-CH-5739-01
PIKFYVE	TCGA-CH-5739-01
MAP2	TCGA-CH-5739-01
RPE	TCGA-CH-5739-01
PECR	TCGA-CH-5739-01
ZNF142	TCGA-CH-5739-01
ZNF142	TCGA-CH-5739-01
TTLL4	TCGA-CH-5739-01
FAM134A	TCGA-CH-5739-01
ABCB6	TCGA-CH-5739-01
EPHA4	TCGA-CH-5739-01
GIGYF2	TCGA-CH-5739-01
UGT1A8	TCGA-CH-5739-01
UGT1A3	TCGA-CH-5739-01
COL6A3	TCGA-CH-5739-01
COL6A3	TCGA-CH-5739-01
RAB17	TCGA-CH-5739-01
MTERFD2	TCGA-CH-5739-01
CNTN6	TCGA-CH-5739-01
RPUSD3	TCGA-CH-5739-01
SLC6A11	TCGA-CH-5739-01
HDAC11	TCGA-CH-5739-01
ZFYVE20	TCGA-CH-5739-01
RFTN1	TCGA-CH-5739-01
OXSM	TCGA-CH-5739-01
SLC4A7	TCGA-CH-5739-01
OSBPL10	TCGA-CH-5739-01
GOLGA4	TCGA-CH-5739-01
DLEC1	TCGA-CH-5739-01
ACAA1	TCGA-CH-5739-01
XIRP1	TCGA-CH-5739-01
ENTPD3	TCGA-CH-5739-01
CTNNB1	TCGA-CH-5739-01
ZKSCAN7	TCGA-CH-5739-01
ZNF197	TCGA-CH-5739-01
LTF	TCGA-CH-5739-01
RTP3	TCGA-CH-5739-01
MAP4	TCGA-CH-5739-01
ATRIP	TCGA-CH-5739-01
TREX1	TCGA-CH-5739-01
ALAS1	TCGA-CH-5739-01
WDR82	TCGA-CH-5739-01
STAB1	TCGA-CH-5739-01
STAB1	TCGA-CH-5739-01
ACTR8	TCGA-CH-5739-01
ACTR8	TCGA-CH-5739-01
SLMAP	TCGA-CH-5739-01
LRIG1	TCGA-CH-5739-01
C3orf38	TCGA-CH-5739-01
PROS1	TCGA-CH-5739-01
ARL13B	TCGA-CH-5739-01
NSUN3	TCGA-CH-5739-01
EPHA6	TCGA-CH-5739-01
OR5AC2	TCGA-CH-5739-01
MYH15	TCGA-CH-5739-01
ZDHHC23	TCGA-CH-5739-01
HGD	TCGA-CH-5739-01
COPG1	TCGA-CH-5739-01
DNAJC13	TCGA-CH-5739-01
SRPRB	TCGA-CH-5739-01
CLSTN2	TCGA-CH-5739-01
RASA2	TCGA-CH-5739-01
IGSF10	TCGA-CH-5739-01
SMC4	TCGA-CH-5739-01
PPM1L	TCGA-CH-5739-01
SLITRK3	TCGA-CH-5739-01
FNDC3B	TCGA-CH-5739-01
EIF4G1	TCGA-CH-5739-01
TPRG1	TCGA-CH-5739-01
GP5	TCGA-CH-5739-01
UBXN7	TCGA-CH-5739-01
ADD1	TCGA-CH-5739-01
AFAP1	TCGA-CH-5739-01
NCAPG	TCGA-CH-5739-01
GPR125	TCGA-CH-5739-01
RBPJ	TCGA-CH-5739-01
PGM2	TCGA-CH-5739-01
KLHL5	TCGA-CH-5739-01
KCTD8	TCGA-CH-5739-01
TECRL	TCGA-CH-5739-01
UGT2A3	TCGA-CH-5739-01
ADAMTS3	TCGA-CH-5739-01
CCDC158	TCGA-CH-5739-01
WDFY3	TCGA-CH-5739-01
HSD17B11	TCGA-CH-5739-01
TACR3	TCGA-CH-5739-01
ANK2	TCGA-CH-5739-01
FAT4	TCGA-CH-5739-01
FAT4	TCGA-CH-5739-01
PCDH18	TCGA-CH-5739-01
MAML3	TCGA-CH-5739-01
GLRB	TCGA-CH-5739-01
GRIA2	TCGA-CH-5739-01
NAF1	TCGA-CH-5739-01
SDHA	TCGA-CH-5739-01
CEP72	TCGA-CH-5739-01
CDH9	TCGA-CH-5739-01
RAI14	TCGA-CH-5739-01
PRLR	TCGA-CH-5739-01
NADK2	TCGA-CH-5739-01
EGFLAM	TCGA-CH-5739-01
LIFR	TCGA-CH-5739-01
MROH2B	TCGA-CH-5739-01
C6	TCGA-CH-5739-01
NNT	TCGA-CH-5739-01
TMEM171	TCGA-CH-5739-01
TMEM171	TCGA-CH-5739-01
CRHBP	TCGA-CH-5739-01
AGGF1	TCGA-CH-5739-01
WDR41	TCGA-CH-5739-01
VCAN	TCGA-CH-5739-01
FER	TCGA-CH-5739-01
FER	TCGA-CH-5739-01
DCP2	TCGA-CH-5739-01
FEM1C	TCGA-CH-5739-01
ZNF608	TCGA-CH-5739-01
MEGF10	TCGA-CH-5739-01
FBN2	TCGA-CH-5739-01
ADAMTS19	TCGA-CH-5739-01
FBXL21	TCGA-CH-5739-01
PKD2L2	TCGA-CH-5739-01
FAM13B	TCGA-CH-5739-01
PCDHA3	TCGA-CH-5739-01
PCDHB8	TCGA-CH-5739-01
PCDHGA6	TCGA-CH-5739-01
PCDHGA8	TCGA-CH-5739-01
PCDHGB3	TCGA-CH-5739-01
DPYSL3	TCGA-CH-5739-01
ARHGEF37	TCGA-CH-5739-01
CSF1R	TCGA-CH-5739-01
CD74	TCGA-CH-5739-01
ZNF300	TCGA-CH-5739-01
GABRB2	TCGA-CH-5739-01
STK10	TCGA-CH-5739-01
HK3	TCGA-CH-5739-01
UIMC1	TCGA-CH-5739-01
COL23A1	TCGA-CH-5739-01
MAML1	TCGA-CH-5739-01
MAPK9	TCGA-CH-5739-01
TFAP2A	TCGA-CH-5739-01
ERVFRD-1	TCGA-CH-5739-01
BTN2A1	TCGA-CH-5739-01
MAS1L	TCGA-CH-5739-01
HLA-F	TCGA-CH-5739-01
TRIM10	TCGA-CH-5739-01
MDC1	TCGA-CH-5739-01
HLA-DMB	TCGA-CH-5739-01
RXRB	TCGA-CH-5739-01
DAXX	TCGA-CH-5739-01
KIFC1	TCGA-CH-5739-01
C6orf222	TCGA-CH-5739-01
ETV7	TCGA-CH-5739-01
RNF8	TCGA-CH-5739-01
MDFI	TCGA-CH-5739-01
TFEB	TCGA-CH-5739-01
CUL9	TCGA-CH-5739-01
XPO5	TCGA-CH-5739-01
SLC25A27	TCGA-CH-5739-01
PKHD1	TCGA-CH-5739-01
MLIP	TCGA-CH-5739-01
DST	TCGA-CH-5739-01
BAI3	TCGA-CH-5739-01
COL12A1	TCGA-CH-5739-01
FILIP1	TCGA-CH-5739-01
SYNCRIP	TCGA-CH-5739-01
ZNF292	TCGA-CH-5739-01
MDN1	TCGA-CH-5739-01
ARMC2	TCGA-CH-5739-01
MICAL1	TCGA-CH-5739-01
SLC22A16	TCGA-CH-5739-01
FAM26E	TCGA-CH-5739-01
DCBLD1	TCGA-CH-5739-01
LAMA2	TCGA-CH-5739-01
LAMA2	TCGA-CH-5739-01
CTAGE9	TCGA-CH-5739-01
ENPP3	TCGA-CH-5739-01
KIAA1244	TCGA-CH-5739-01
GPR126	TCGA-CH-5739-01
SHPRH	TCGA-CH-5739-01
PLEKHG1	TCGA-CH-5739-01
LPAL2	TCGA-CH-5739-01
CARD11	TCGA-CH-5739-01
COL28A1	TCGA-CH-5739-01
C7orf31	TCGA-CH-5739-01
FKBP14	TCGA-CH-5739-01
POM121	TCGA-CH-5739-01
WBSCR28	TCGA-CH-5739-01
LAT2	TCGA-CH-5739-01
RFC2	TCGA-CH-5739-01
CPSF4	TCGA-CH-5739-01
ZNF789	TCGA-CH-5739-01
ZNF394	TCGA-CH-5739-01
AGFG2	TCGA-CH-5739-01
ZAN	TCGA-CH-5739-01
MUC3A	TCGA-CH-5739-01
SPDYE6	TCGA-CH-5739-01
COG5	TCGA-CH-5739-01
CBLL1	TCGA-CH-5739-01
TMEM168	TCGA-CH-5739-01
CAV2	TCGA-CH-5739-01
MET	TCGA-CH-5739-01
CNOT4	TCGA-CH-5739-01
BRAF	TCGA-CH-5739-01
WEE2	TCGA-CH-5739-01
MGAM	TCGA-CH-5739-01
TAS2R60	TCGA-CH-5739-01
TAS2R60	TCGA-CH-5739-01
OR2A14	TCGA-CH-5739-01
ZNF425	TCGA-CH-5739-01
ZNF783	TCGA-CH-5739-01
NOS3	TCGA-CH-5739-01
NCAPG2	TCGA-CH-5739-01
CSMD1	TCGA-CH-5739-01
SGK223	TCGA-CH-5739-01
ATP6V1B2	TCGA-CH-5739-01
RNF122	TCGA-CH-5739-01
GOT1L1	TCGA-CH-5739-01
DDHD2	TCGA-CH-5739-01
WHSC1L1	TCGA-CH-5739-01
RP1	TCGA-CH-5739-01
TGS1	TCGA-CH-5739-01
LYN	TCGA-CH-5739-01
CHD7	TCGA-CH-5739-01
CSPP1	TCGA-CH-5739-01
ARFGEF1	TCGA-CH-5739-01
NCOA2	TCGA-CH-5739-01
STAU2	TCGA-CH-5739-01
FABP9	TCGA-CH-5739-01
VPS13B	TCGA-CH-5739-01
GRHL2	TCGA-CH-5739-01
NCALD	TCGA-CH-5739-01
ZFPM2	TCGA-CH-5739-01
PKHD1L1	TCGA-CH-5739-01
HAS2	TCGA-CH-5739-01
ZHX2	TCGA-CH-5739-01
ANXA13	TCGA-CH-5739-01
FER1L6	TCGA-CH-5739-01
ASAP1	TCGA-CH-5739-01
LRRC6	TCGA-CH-5739-01
ZFAT	TCGA-CH-5739-01
COL22A1	TCGA-CH-5739-01
PTP4A3	TCGA-CH-5739-01
SLURP1	TCGA-CH-5739-01
DMRT2	TCGA-CH-5739-01
SMARCA2	TCGA-CH-5739-01
ERMP1	TCGA-CH-5739-01
PTPRD	TCGA-CH-5739-01
MPDZ	TCGA-CH-5739-01
IFNA21	TCGA-CH-5739-01
ACO1	TCGA-CH-5739-01
TAF1L	TCGA-CH-5739-01
AQP3	TCGA-CH-5739-01
PRSS3	TCGA-CH-5739-01
GALT	TCGA-CH-5739-01
CD72	TCGA-CH-5739-01
FBXO10	TCGA-CH-5739-01
ALDH1B1	TCGA-CH-5739-01
ZNF658	TCGA-CH-5739-01
APBA1	TCGA-CH-5739-01
TRPM6	TCGA-CH-5739-01
FRMD3	TCGA-CH-5739-01
KIF27	TCGA-CH-5739-01
ZCCHC6	TCGA-CH-5739-01
ZCCHC6	TCGA-CH-5739-01
ASPN	TCGA-CH-5739-01
ECM2	TCGA-CH-5739-01
ECM2	TCGA-CH-5739-01
KLF4	TCGA-CH-5739-01
ACTL7A	TCGA-CH-5739-01
PALM2-AKAP2	TCGA-CH-5739-01
PALM2-AKAP2	TCGA-CH-5739-01
PAPPA	TCGA-CH-5739-01
PAPPA	TCGA-CH-5739-01
OR1J2	TCGA-CH-5739-01
GOLGA1	TCGA-CH-5739-01
CAMSAP1	TCGA-CH-5739-01
ENTPD8	TCGA-CH-5739-01
SFMBT2	TCGA-CH-5739-01
DHTKD1	TCGA-CH-5739-01
SEC61A2	TCGA-CH-5739-01
FRMD4A	TCGA-CH-5739-01
ARHGAP21	TCGA-CH-5739-01
APBB1IP	TCGA-CH-5739-01
ZNF438	TCGA-CH-5739-01
EPC1	TCGA-CH-5739-01
NRP1	TCGA-CH-5739-01
ZNF32	TCGA-CH-5739-01
LRRC18	TCGA-CH-5739-01
UBE2D1	TCGA-CH-5739-01
ANK3	TCGA-CH-5739-01
ARID5B	TCGA-CH-5739-01
H2AFY2	TCGA-CH-5739-01
PSAP	TCGA-CH-5739-01
P4HA1	TCGA-CH-5739-01
POLR3A	TCGA-CH-5739-01
GRID1	TCGA-CH-5739-01
CPEB3	TCGA-CH-5739-01
ALDH18A1	TCGA-CH-5739-01
CC2D2B	TCGA-CH-5739-01
SLIT1	TCGA-CH-5739-01
DNMBP	TCGA-CH-5739-01
SH3PXD2A	TCGA-CH-5739-01
SORCS3	TCGA-CH-5739-01
XPNPEP1	TCGA-CH-5739-01
NRAP	TCGA-CH-5739-01
PLEKHS1	TCGA-CH-5739-01
RGS10	TCGA-CH-5739-01
TACC2	TCGA-CH-5739-01
BTBD16	TCGA-CH-5739-01
ADAM12	TCGA-CH-5739-01
ADAM12	TCGA-CH-5739-01
EBF3	TCGA-CH-5739-01
DUSP8	TCGA-CH-5739-01
IGF2	TCGA-CH-5739-01
ZNF195	TCGA-CH-5739-01
RRM1	TCGA-CH-5739-01
RRM1	TCGA-CH-5739-01
OR52I1	TCGA-CH-5739-01
HBB	TCGA-CH-5739-01
OR56B1	TCGA-CH-5739-01
OR52N4	TCGA-CH-5739-01
TPP1	TCGA-CH-5739-01
DENND5A	TCGA-CH-5739-01
DENND5A	TCGA-CH-5739-01
IPO7	TCGA-CH-5739-01
SBF2	TCGA-CH-5739-01
PIK3C2A	TCGA-CH-5739-01
MRGPRX4	TCGA-CH-5739-01
MRGPRX2	TCGA-CH-5739-01
NAV2	TCGA-CH-5739-01
NAV2	TCGA-CH-5739-01
EXT2	TCGA-CH-5739-01
PRDM11	TCGA-CH-5739-01
NR1H3	TCGA-CH-5739-01
MADD	TCGA-CH-5739-01
MADD	TCGA-CH-5739-01
SLC39A13	TCGA-CH-5739-01
CELF1	TCGA-CH-5739-01
OR4C12	TCGA-CH-5739-01
OR5T3	TCGA-CH-5739-01
OR5A1	TCGA-CH-5739-01
PPP1R32	TCGA-CH-5739-01
AHNAK	TCGA-CH-5739-01
AHNAK	TCGA-CH-5739-01
AHNAK	TCGA-CH-5739-01
AHNAK	TCGA-CH-5739-01
AHNAK	TCGA-CH-5739-01
EML3	TCGA-CH-5739-01
RARRES3	TCGA-CH-5739-01
PLA2G16	TCGA-CH-5739-01
BAD	TCGA-CH-5739-01
GPR137	TCGA-CH-5739-01
NRXN2	TCGA-CH-5739-01
SF1	TCGA-CH-5739-01
ATG2A	TCGA-CH-5739-01
SSSCA1	TCGA-CH-5739-01
EHBP1L1	TCGA-CH-5739-01
NPAS4	TCGA-CH-5739-01
CCS	TCGA-CH-5739-01
SSH3	TCGA-CH-5739-01
SSH3	TCGA-CH-5739-01
INPPL1	TCGA-CH-5739-01
RNF169	TCGA-CH-5739-01
DGAT2	TCGA-CH-5739-01
FAT3	TCGA-CH-5739-01
GPR83	TCGA-CH-5739-01
MMP1	TCGA-CH-5739-01
MMP13	TCGA-CH-5739-01
MMP13	TCGA-CH-5739-01
BCO2	TCGA-CH-5739-01
HMBS	TCGA-CH-5739-01
DPAGT1	TCGA-CH-5739-01
ACRV1	TCGA-CH-5739-01
SRPR	TCGA-CH-5739-01
ARHGAP32	TCGA-CH-5739-01
NFRKB	TCGA-CH-5739-01
WNK1	TCGA-CH-5739-01
RAD52	TCGA-CH-5739-01
CHD4	TCGA-CH-5739-01
CD163	TCGA-CH-5739-01
PRB1	TCGA-CH-5739-01
PRB1	TCGA-CH-5739-01
SLCO1B1	TCGA-CH-5739-01
KLHL42	TCGA-CH-5739-01
FAR2	TCGA-CH-5739-01
OVCH1	TCGA-CH-5739-01
ADAMTS20	TCGA-CH-5739-01
DIP2B	TCGA-CH-5739-01
SCN8A	TCGA-CH-5739-01
AAAS	TCGA-CH-5739-01
MAP3K12	TCGA-CH-5739-01
HOXC13	TCGA-CH-5739-01
WIBG	TCGA-CH-5739-01
ESYT1	TCGA-CH-5739-01
ESYT1	TCGA-CH-5739-01
ESYT1	TCGA-CH-5739-01
STAT2	TCGA-CH-5739-01
BAZ2A	TCGA-CH-5739-01
NACA	TCGA-CH-5739-01
INHBE	TCGA-CH-5739-01
AGAP2	TCGA-CH-5739-01
PPM1H	TCGA-CH-5739-01
PTPRR	TCGA-CH-5739-01
TRHDE	TCGA-CH-5739-01
NAP1L1	TCGA-CH-5739-01
SYT1	TCGA-CH-5739-01
CCER1	TCGA-CH-5739-01
SLC25A3	TCGA-CH-5739-01
NUP37	TCGA-CH-5739-01
SART3	TCGA-CH-5739-01
USP30	TCGA-CH-5739-01
ATP2A2	TCGA-CH-5739-01
ATXN2	TCGA-CH-5739-01
TRAFD1	TCGA-CH-5739-01
HECTD4	TCGA-CH-5739-01
TPCN1	TCGA-CH-5739-01
TAOK3	TCGA-CH-5739-01
SBNO1	TCGA-CH-5739-01
POLE	TCGA-CH-5739-01
RNF17	TCGA-CH-5739-01
LNX2	TCGA-CH-5739-01
TEX26	TCGA-CH-5739-01
KL	TCGA-CH-5739-01
ZC3H13	TCGA-CH-5739-01
LRCH1	TCGA-CH-5739-01
INTS6	TCGA-CH-5739-01
ATP7B	TCGA-CH-5739-01
ATP7B	TCGA-CH-5739-01
PCDH9	TCGA-CH-5739-01
SLITRK5	TCGA-CH-5739-01
DOCK9	TCGA-CH-5739-01
TMTC4	TCGA-CH-5739-01
GRK1	TCGA-CH-5739-01
TEP1	TCGA-CH-5739-01
OR6S1	TCGA-CH-5739-01
METTL3	TCGA-CH-5739-01
ACIN1	TCGA-CH-5739-01
TGM1	TCGA-CH-5739-01
BNIP3P1	TCGA-CH-5739-01
LRFN5	TCGA-CH-5739-01
SOCS4	TCGA-CH-5739-01
SNAPC1	TCGA-CH-5739-01
SYNE2	TCGA-CH-5739-01
SPTB	TCGA-CH-5739-01
GPHN	TCGA-CH-5739-01
ZFP36L1	TCGA-CH-5739-01
PAPLN	TCGA-CH-5739-01
SYNDIG1L	TCGA-CH-5739-01
GPATCH2L	TCGA-CH-5739-01
FLRT2	TCGA-CH-5739-01
KCNK13	TCGA-CH-5739-01
UNC79	TCGA-CH-5739-01
SERPINA10	TCGA-CH-5739-01
DYNC1H1	TCGA-CH-5739-01
DYNC1H1	TCGA-CH-5739-01
TNFAIP2	TCGA-CH-5739-01
AHNAK2	TCGA-CH-5739-01
SNORD115-17	TCGA-CH-5739-01
HERC2	TCGA-CH-5739-01
EMC4	TCGA-CH-5739-01
MEIS2	TCGA-CH-5739-01
VPS18	TCGA-CH-5739-01
CKMT1B	TCGA-CH-5739-01
CASC4	TCGA-CH-5739-01
HDC	TCGA-CH-5739-01
DMXL2	TCGA-CH-5739-01
MYO5A	TCGA-CH-5739-01
ONECUT1	TCGA-CH-5739-01
DYX1C1	TCGA-CH-5739-01
ALDH1A2	TCGA-CH-5739-01
SLTM	TCGA-CH-5739-01
MYO1E	TCGA-CH-5739-01
TLE3	TCGA-CH-5739-01
PARP6	TCGA-CH-5739-01
C15orf59	TCGA-CH-5739-01
PML	TCGA-CH-5739-01
BTBD1	TCGA-CH-5739-01
ADAMTSL3	TCGA-CH-5739-01
AKAP13	TCGA-CH-5739-01
CRTC3	TCGA-CH-5739-01
CRTC3	TCGA-CH-5739-01
SYNM	TCGA-CH-5739-01
ADAMTS17	TCGA-CH-5739-01
EME2	TCGA-CH-5739-01
SRRM2	TCGA-CH-5739-01
SRRM2	TCGA-CH-5739-01
OR1F1	TCGA-CH-5739-01
MKL2	TCGA-CH-5739-01
MIR193B	TCGA-CH-5739-01
KIAA0430	TCGA-CH-5739-01
ACSM5	TCGA-CH-5739-01
ACSM3	TCGA-CH-5739-01
DNAH3	TCGA-CH-5739-01
PDZD9	TCGA-CH-5739-01
GGA2	TCGA-CH-5739-01
PRKCB	TCGA-CH-5739-01
ZKSCAN2	TCGA-CH-5739-01
NFATC2IP	TCGA-CH-5739-01
CORO1A	TCGA-CH-5739-01
PHKG2	TCGA-CH-5739-01
BCL7C	TCGA-CH-5739-01
ITGAX	TCGA-CH-5739-01
SHCBP1	TCGA-CH-5739-01
SNX20	TCGA-CH-5739-01
SALL1	TCGA-CH-5739-01
FAM57A	TCGA-CH-5739-01
FAM57A	TCGA-CH-5739-01
OR1D2	TCGA-CH-5739-01
OR1E2	TCGA-CH-5739-01
ZZEF1	TCGA-CH-5739-01
USP6	TCGA-CH-5739-01
NLRP1	TCGA-CH-5739-01
AIPL1	TCGA-CH-5739-01
PHF23	TCGA-CH-5739-01
YBX2	TCGA-CH-5739-01
GPS2	TCGA-CH-5739-01
DNAH9	TCGA-CH-5739-01
TOM1L2	TCGA-CH-5739-01
EPN2	TCGA-CH-5739-01
SPECC1	TCGA-CH-5739-01
KIAA0100	TCGA-CH-5739-01
PROCA1	TCGA-CH-5739-01
RAB34	TCGA-CH-5739-01
RPL23A	TCGA-CH-5739-01
SSH2	TCGA-CH-5739-01
