entrez_gene_symbol	drug_primary_name
PIK3CA	Olaparib
BRCA2	Olaparib
PTEN	Olaparib
HDAC2	Olaparib
	Olaparib
BRCA2	Olaparib
MET	Olaparib
BRCA2	Olaparib
ERBB2	Olaparib
IDH1	Olaparib
PTEN	Olaparib
PIK3CA	Olaparib
BRCA1	Olaparib
BRCA1	Olaparib
ATR	Olaparib
ATM	Olaparib
KRAS	Olaparib
STAG2	Olaparib
PDGFRA	Olaratumab
ERBB2	Oxaliplatin
KRAS	Oxaliplatin
TP53	Oxaliplatin
BRAF	Oxaliplatin
PTEN	Oxaliplatin
MET	Oxaliplatin
MET	Paclitaxel
CDKN2A	Paclitaxel
ERBB2	Paclitaxel
BRCA1	Paclitaxel
BRCA2	Paclitaxel
TUBB3	Paclitaxel
KRAS	Paclitaxel
ATM	Paclitaxel
SRC	Paclitaxel
PDGFRA	Paclitaxel
PIK3CA	Paclitaxel
SMAD4	Paclitaxel
NOTCH1	Paclitaxel
AKT1	Paclitaxel
PTEN	Paclitaxel
TP53	Paclitaxel
BRAF	Paclitaxel
EGFR	Paclitaxel
RB1	Palbociclib
CDKN2A	Palbociclib
PTEN	Palbociclib
FLT3	Palbociclib
CDK4	Palbociclib
ERBB2	Palbociclib
CDKN2A	Palbociclib
KRAS	Palbociclib
KRAS	Palbociclib
ESR1	Palbociclib
PIK3CA	Palbociclib
NRAS	Palbociclib
CCND2	Palbociclib
SMARCB1	Palbociclib
BRAF	Palbociclib
ESR1	Palbociclib
ERBB2	Palbociclib
PTEN	Palbociclib
KRAS	Palbociclib
ERBB2	Palbociclib
EGFR	Panitumumab
PTEN	Panitumumab
MET	Panitumumab
ERBB2	Panitumumab
HRAS	Panitumumab
MAP2K1	Panitumumab
NRAS	Panitumumab
	Panitumumab
KRAS	Panitumumab
NRAS	Panitumumab
BRAF	Panitumumab
BRAF	Panitumumab
KRAS	Panitumumab
NRAS	Panitumumab
EGFR	Panitumumab
BRAF	Panitumumab
EGFR	Panitumumab
MAP2K1	Panitumumab
MET	Panitumumab
KRAS	Panitumumab
TP53	Panitumumab
BRAF	Panobinostat
KMT2A	Panobinostat
KRAS	Panobinostat
IFNL3	Peginterferon Alfa-2b
PMS2	Pembrolizumab
MLH1	Pembrolizumab
PTEN	Pembrolizumab
MSH6	Pembrolizumab
CD274	Pembrolizumab
EGFR	Pembrolizumab
KRAS	Pembrolizumab
BRAF	Pembrolizumab
ALK	Pembrolizumab
MSH3	Pembrolizumab
BRAF	Pembrolizumab
JAK2	Pembrolizumab
KIT	Pembrolizumab
CD274	Pembrolizumab
NRAS	Pembrolizumab
TP53	Pembrolizumab
	Pembrolizumab
MSH2	Pembrolizumab
PIK3CA	Pertuzumab
ERBB2	Pertuzumab
ERBB3	Pertuzumab
ESR1	Pertuzumab
ERBB2	Pertuzumab
ERBB2	Pertuzumab
ERBB2	Pertuzumab
CRBN	Pomalidomide
KDR	Ramucirumab
ERBB2	Ramucirumab
KRAS	Ramucirumab
	Rasburicase
G6PD	Rasburicase
PIK3CA	Regorafenib
NRAS	Regorafenib
PDGFRA	Regorafenib
KRAS	Regorafenib
BRAF	Regorafenib
FBXW7	Regorafenib
KRAS	Regorafenib
APC	Regorafenib
VHL	Regorafenib
PDGFRA	Regorafenib
EGFR	Regorafenib
KRAS	Regorafenib
RET	Regorafenib
KIT	Regorafenib
KIT	Regorafenib
KDR	Regorafenib
KIT	Regorafenib
NRAS	Ribociclib
ESR1	Ribociclib
NOTCH1	Ribociclib
RB1	Ribociclib
NRAS	Ribociclib
KRAS	Ribociclib
PGR	Ribociclib
BRAF	Ribociclib
CDK6	Ribociclib
PIK3CA	Ribociclib
CDK4	Ribociclib
MS4A1	Rituximab
KRAS	Romidepsin
KMT2A	Romidepsin
SMO	Sonidegib
EGFR	Sonidegib
PTCH1	Sonidegib
MYC	Temozolomide
TP53	Temozolomide
PTEN	Temozolomide
NOTCH1	Temozolomide
IDH1	Temozolomide
ATR	Temozolomide
STAG2	Temozolomide
EGFR	Temozolomide
MSH6	Temozolomide
ATM	Temozolomide
BRCA1	Temozolomide
PTEN	Temsirolimus
BRAF	Temsirolimus
PIK3CA	Temsirolimus
ERBB2	Temsirolimus
EGFR	Temsirolimus
CTNNB1	Temsirolimus
KRAS	Temsirolimus
AKT1	Temsirolimus
MTOR	Temsirolimus
FBXW7	Temsirolimus
BRAF	Temsirolimus
TPMT	Thioguanine
TPMT	Thioguanine
FGFR2	Trabectedin
NF1	Trametinib
BRAF	Trametinib
SRC	Trametinib
KRAS	Trametinib
NF1	Trametinib
BRAF	Trametinib
G6PD	Trametinib
	Trametinib
GNAQ	Trametinib
STAG2	Trametinib
VHL	Trametinib
RB1	Trametinib
HRAS	Trametinib
NRAS	Trametinib
MAP2K1	Trametinib
STK11	Trametinib
EGFR	Trametinib
PIK3CA	Trametinib
KRAS	Trametinib
KIT	Trametinib
BRAF	Trametinib
NRAS	Trametinib
MAP2K1	Trametinib
FGFR2	Trametinib
MAP2K1	Trametinib
KRAS	Trametinib
BRAF	Trametinib
GNA11	Trametinib
CTNNB1	Trametinib
ABL1	Trametinib
MET	Trametinib
CDKN2A	Trametinib
PRKCH	Trametinib
FGFR3	Trametinib
TP53	Trametinib
FGFR1	Trametinib
APC	Trastuzumab
MET	Trastuzumab
PIK3CA	Trastuzumab
ERBB2	Trastuzumab
ERBB2	Trastuzumab
PTEN	Trastuzumab
ERBB3	Trastuzumab
BRAF	Trastuzumab
ANXA1	Trastuzumab
KRAS	Trastuzumab
PGR	Trastuzumab
KRAS	Trastuzumab
ERBB2	Trastuzumab
PIK3CA	Trastuzumab
HGF	Trastuzumab
PIK3CA	Trastuzumab
ERBB2	Trastuzumab
ESR1	Trastuzumab
ARID1A	Trastuzumab
MET	Trastuzumab
PTEN	Trastuzumab
ERBB2	Trastuzumab
RET	Vandetanib
ATM	Vandetanib
IDH1	Vandetanib
ABL1	Vandetanib
RET	Vandetanib
APC	Vandetanib
EGFR	Vandetanib
KDR	Vandetanib
RET	Vandetanib
PTEN	Vandetanib
PTEN	Vemurafenib
MAP2K1	Vemurafenib
BRAF	Vemurafenib
PIK3CA	Vemurafenib
BRAF	Vemurafenib
EGFR	Vemurafenib
TP53	Vemurafenib
MAP2K1	Vemurafenib
	Vemurafenib
NF1	Vemurafenib
BRAF	Vemurafenib
AKT1	Vemurafenib
CSF1R	Vemurafenib
NRAS	Vemurafenib
KRAS	Vemurafenib
STAG2	Vemurafenib
BRAF	Vemurafenib
MET	Vemurafenib
NRAS	Vemurafenib
KRAS	Venetoclax
PIK3CA	Venetoclax
ABL1	Venetoclax
	Venetoclax
IDH2	Venetoclax
IDH1	Venetoclax
PTEN	Venetoclax
IDH1	Venetoclax
BRAF	Venetoclax
IDH2	Venetoclax
VIPR1	VIP
ADCYAP1R1	VIP
VIPR2	VIP
SCTR	VIP
PTCH1	Vismodegib
SMO	Vismodegib
PTCH1	Vismodegib
SMO	Vismodegib
BRAF	Vorinostat
MYD88	Vorinostat
TP53	Vorinostat
SMARCB1	Vorinostat
RB1	Vorinostat
GNA11	Vorinostat
EZH2	Vorinostat
NPM1	Vorinostat
FBXW7	Vorinostat
