patient_id	TCGA.A1.A0SE.01	TCGA.A1.A0SH.01	TCGA.A1.A0SJ.01	TCGA.A1.A0SK.01	TCGA.A1.A0SM.01	TCGA.A1.A0SO.01	TCGA.A1.A0SP.01	TCGA.A2.A04N.01	TCGA.A2.A04P.01
FGFR2	fibroblast growth factor receptor 2	TALC	inhibitor	PONATINIB	PONATINIB
FGFR2	fibroblast growth factor receptor 2	TALC	inhibitor	REGORAFENIB	REGORAFENIB
FGFR2	fibroblast growth factor receptor 2	TALC	inhibitor	LENVATINIB	LENVATINIB
FGFR2	fibroblast growth factor receptor 2	TALC	inhibitor	XL228	XL228
FGFR2	fibroblast growth factor receptor 2	TALC	inhibitor	BRIVANIB	BRIVANIB
FGFR2	fibroblast growth factor receptor 2	TALC	antibody	FP-1039	FP-1039
FGFR2	fibroblast growth factor receptor 2	MyCancerGenome	inhibitor	PONATINIB	PONATINIB
FGFR2	fibroblast growth factor receptor 2	MyCancerGenome	inhibitor	MASITINIB	MASITINIB
FGFR2	fibroblast growth factor receptor 2	MyCancerGenome	inhibitor	XL228	XL228
FGFR2	fibroblast growth factor receptor 2	MyCancerGenome	inhibitor	AZD4547	AZD4547
FGFR2	fibroblast growth factor receptor 2	MyCancerGenome	inhibitor	BGJ398	BGJ398
FGFR2	fibroblast growth factor receptor 2	MyCancerGenome	inhibitor	NINTEDANIB	NINTEDANIB
FGFR2	fibroblast growth factor receptor 2	MyCancerGenome	inhibitor	E-3810	E-3810
FGFR2	fibroblast growth factor receptor 2	MyCancerGenome	inhibitor	DOVITINIB	DOVITINIB
FGFR2	fibroblast growth factor receptor 2	CancerCommons	inhibitor	BGJ398	BGJ398
FGFR2	fibroblast growth factor receptor 2	GuideToPharmacologyInteractions	n/a	6954	PALIFERMIN
FGFR2	fibroblast growth factor receptor 2	GuideToPharmacologyInteractions	n/a	7707	AZD4547
FGFR2	fibroblast growth factor receptor 2	GuideToPharmacologyInteractions	n/a	7877	BGJ-398
FGFR2	fibroblast growth factor receptor 2	GuideToPharmacologyInteractions	n/a	5936	NINTEDANIB
NPY	neuropeptide Y	DrugBank	n/a	DB03380	L-TYROSINAMIDE
NPY	neuropeptide Y	DrugBank	n/a	DB02952	ALPHA-AMINOISOBUTYRIC ACID
GLUD1	glutamate dehydrogenase 1	DrugBank	n/a	DB00142	L-GLUTAMIC ACID
GLUD1	glutamate dehydrogenase 1	DrugBank	n/a	DB00157	NADH
GLUD1	glutamate dehydrogenase 1	DrugBank	inhibitor	DB00756	HEXACHLOROPHENE
GLUD1	glutamate dehydrogenase 1	DrugBank	n/a	DB04137	GUANOSINE-5-TRIPHOSPHATE	(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE#[4-({4-[(5-CYCLOPROPYL-1H-PYRAZOL-3-YL)AMINO]QUINAZOLIN-2-YL}IMINO)CYCLOHEXA-2,5-DIEN-1-YL]ACETONITRILE@ATORVASTATIN#ROSUVASTATIN@PF-4523655@7&BETA;-HYDROXYCHOLESTEROL#27-HYDROXYCHOLESTEROL#7&ALPHA;,25-DIHYDROXYCHOLESTEROL#7&ALPHA;,25-DIHYDROXYCHOLESTEROL#7&ALPHA;-HYDROXYCHOLESTEROL#7&BETA;, 25-DIHYDROXYCHOLESTEROL#7&BETA;, 27-DIHYDROXYCHOLESTEROL#25-HYDROXYCHOLESTEROL#7&ALPHA;,27-DIHYDROXYCHOLESTEROL@UROKINASE#TRANEXAMIC ACID#STREPTOKINASE#ALTEPLASE#RETEPLASE#ANISTREPLASE#AMINOCAPROIC ACID#TENECTEPLASE#BICINE#DESMOTEPLASE#APROTININ#ANTITHROMBIN#DESMOTEPLASE#AMEDIPLASE#ANISTREPLASE#ALTEPLASE#PLASMIN#UROKINASE#RETEPLASE#TRANEXAMIC ACID#AMINOCAPROIC ACID#TENECTEPLASE#UROKINASE#STREPTOKINASE#AMINOCAPROIC ACID#ANISTREPLASE#TENECTEPLASE#ALTEPLASE#UROKINASE#RETEPLASE#TRANEXAMIC ACID#STREPTOKINASE#RETEPLASE#ALTEPLASE#AMINOCAPROIC ACID#UROKINASE#RETEPLASE#TENECTEPLASE#STREPTOKINASE#TENECTEPLASE#UROKINASE#ALTEPLASE#TRANEXAMIC ACID#AMINOCAPROIC ACID#APROTININ#RETEPLASE#STREPTOKINASE#ANISTREPLASE#6-AMINOCAPROIC ACID#APROTININ#TRANEXAMIC ACID#BIS-TRIAZOLE DERIVATIVE 10@SPHINGOSINE 1-PHOSPHATE#PHYTOSPHINGOSINE 1-PHOSPHATE#COMPOUND 26 [PMID:16190743]#DIHYDROSP​HINGOSINE​-1-PHOSPH​ATE#VPC03090-P#VPC03090-P#SPHINGOSINE 1-PHOSPHATE#AFD(R)#FTY720-PHOSPHATE@OLESOXIME#DIHYDROXYALUMINIUM#PRLX 93936#PRLX 93936
drugs_in_module3	MDX-1105#MPDL3280A#MDX-1105#MPDL3280A#RG7446@IRON DEXTRAN@RILUZOLE@PSEUDOEPHEDRINE	FORMIC ACID@N-[O-PHOSPHONO-PYRIDOXYL]-ISOLEUCINE#ALPHA-KETOISOVALERATE#L-LEUCINE#L-GLUTAMIC ACID@MDX-1105#MPDL3280A#MDX-1105#MPDL3280A#RG7446@CITRIC ACID#ASPARTATE BERYLLIUM TRIFLUORIDE@METHYL N-({(2S,3S)-3-[(PROPYLAMINO)CARBONYL]OXIRAN-2-YL}CARBONYL)-L-ISOLEUCYL-L-PROLINATE#N-({(2S,3S)-3-[(BENZYLAMINO)CARBONYL]OXIRAN-2-YL}CARBONYL)-L-ISOLEUCYL-L-PROLINE#N-{[(2S,3S)-3-(ETHOXYCARBONYL)OXIRAN-2-YL]CARBONYL}-L-ISOLEUCYL-L-ISOLEUCINE#N-{[(2S,3S)-3-(ETHOXYCARBONYL)OXIRAN-2-YL]CARBONYL}-L-ISOLEUCYL-L-ALANINE#2-AMINOETHANIMIDIC ACID#DIPHENYLACETIC ACID#BENZYL N-({(2S,3S)-3-[(PROPYLAMINO)CARBONYL]OXIRAN-2-YL}CARBONYL)-L-ISOLEUCYL-L-PROLINATE#3-AMINO-4-OXYBENZYL-2-BUTANONE#N-[1-HYDROXYCARBOXYETHYL-CARBONYL]LEUCYLAMINO-2-METHYL-BUTANE#3-METHYLPHENYLALANINE#N-{[(2S,3S)-3-(ETHOXYCARBONYL)OXIRAN-2-YL]CARBONYL}-#N-{[(2S,3S)-3-(ETHOXYCARBONYL)OXIRAN-2-YL]CARBONYL}-L-ISOLEUCINE#N-(3-PROPYLCARBAMOYLOXIRANE-2-CARBONYL)-ISOLEUCYL-PROLINE#2-PYRIDINETHIOL#Z-ARG-LEU-VAL-AGLY-ILE-VAL-OME@L-CITRULLINE@DYSTROPHIN#PRO044@[<SUP>3</SUP>H]CPP#LY233053#L689560#GV196771A#(<I>RS</I>)-(TETRAZOL-5-YL)GLYCINE#D-SERINE#CONANTOKIN-G#L701324#NMDA#L-ASPARTATE#SELFOTEL#D-ASPARTATE#[<SUP>3</SUP>H]CGS19755#[<SUP>3</SUP>H]CGP39653#D-AP5#CGP37849#5,7-DICHLOROKYNURENIC ACID#[<SUP>3</SUP>H]CGP61594#PHENCYCLIDINE#UBP141#[<SUP>3</SUP>H]L689560#GLYCINE#[<SUP>3</SUP>H]MDL105519#AMANTIDINE#N<SUP>1</SUP>-DANSYL-SPERMINE#KETAMINE#DIZOCILPINE#MG<SUP>2+</SUP>#D-CCPENE#[<SUP>3</SUP>H]DIZOCILPINE#[<SUP>3</SUP>H]GLYCINE#HOMOQUINOLINIC ACID#CNS-5161#DIMIRACETAM#AZD-6765#LATREPIRDINE#ORPHENADRINE#V3381#DEXANABINOL#AM-101#NEU-2000#ORPHENADRINE#L-GLUTAMIC ACID#PETHIDINE#ORPHENADRINE#TENOCYCLIDINE#ACETYLCYSTEINE@L-GLUTAMIC ACID#(1<I>S</I>,3<I>R</I>)-ACPD#L-GLUTAMIC ACID#D-AP4#L-CCG-I#L-AP4#MPPG#LY341495#L-SERINE-O-PHOSPHATE#DCG-IV#AZ12216052#[<SUP>3</SUP>H]AP4#(<I>S</I>)-3,4-DCPG#EGLUMEGAD#(<I>R,S</I>)-4-PPG@PEG-INTERFERON LAMBA#IFN-&LAMBDA;3#IFN-&LAMBDA;2#IFN-&LAMBDA;1@PF-00547659@PSEUDOEPHEDRINE@N~2~,N~2~-DIMETHYL-N~1~-(6-OXO-5,6-DIHYDROPHENANTHRIDIN-2-YL)GLYCINAMIDE@PYRIDOXAL#N6-METHYL-(R)-ROSCOVITINE, R-2-[6-(BENZYL-METHYL-AMINO)-9-ISOPROPYL-9H-PURIN-2-YLAMINO]-BUTAN-1-OL#PYRIDOXINE#O6-(R)-ROSCOVITINE, R-2-(6-BENZYLOXY-9-ISOPROPYL-9H-PURIN-2-YLAMINO)-BUTAN-1-OL#ADENOSINE-5'-[BETA, GAMMA-METHYLENE]TRIPHOSPHATE@CITRIC ACID@2,6,8-TRIMETHYL-3-AMINO-9-BENZYL-9-METHOXYNONANOIC ACID#(2S,3S,4E,6E,8S,9S)-3-AMINO-9-METHOXY-2,6,8-TRIMETHYL-10-PHENYLDECA-4,6-DIENOIC ACID@ALPHA-HYDROXY-BETA-PHENYL-PROPIONIC ACID#ANISOMYCIN#PUROMYCIN@[<SUP>14</SUP>C]ASCORBIC ACID#URSODEOXYCHOLIC ACID@R-788#R788#R343#PACLITAXEL#N-(2-HYDROXY-1,1-DIMETHYLETHYL)-1-METHYL-3-(1H-PYRROLO[2,3-B]PYRIDIN-2-YL)-1H-INDOLE-5-CARBOXAMIDE#2-{[(1R,2S)-2-AMINOCYCLOHEXYL]AMINO}-4-[(3-METHYLPHENYL)AMINO]PYRIMIDINE-5-CARBOXAMIDE#STAUROSPORINE#ELLAGIC ACID#6-({5-FLUORO-2-[(3,4,5-TRIMETHOXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-2,2-DIMETHYL-2H-PYRIDO[3,2-B][1,4]OXAZIN-3(4H)-ONE#2-{2-[(3,5-DIMETHYLPHENYL)AMINO]PYRIMIDIN-4-YL}-N-[(1S)-2-HYDROXY-1-METHYLETHYL]-4-METHYL-1,3-THIAZOLE-5-CARBOXAMIDE#FOSTAMATINIB#PRT062607#ACU-XSP-001#R343#FOSTAMATINIB#SYK INHIBITOR#SYK INHIBITOR II#SYK INHIBITOR III#TAMATINIB@CYT-6091#ETANERCEPT#TUMOUR NECROSIS FACTOR MEMBRANE FORM#LYMPHOTOXIN-&ALPHA;	FORMIC ACID@GDC-0152#AZD5582#AT-406#SM-337#LCL161#GDC0917#AT-406#TL 32711#AEG40826#HGS1029@CONATUMUMAB#EMRICASAN#Z-IETD-FMK@MDX-1105#MPDL3280A#MDX-1105#MPDL3280A#RG7446@PREDNISONE#MELPHALAN#IPILIMUMAB#TREMELIMUMAB#IPILIMUMAB#IPILIMUMAB#TREMELIMUMAB#IPILIMUMAB#IPILIMUMAB#TREMELIMUMAB#IPILIMUMAB#TREMELIMUMAB#IPILIMUMAB#IPILIMUMAB#CP-675206#IPILIMUMAB@IRON DEXTRAN@PEG-INTERFERON LAMBA#IFN-&LAMBDA;3#IFN-&LAMBDA;2#IFN-&LAMBDA;1@RILUZOLE@N~2~,N~2~-DIMETHYL-N~1~-(6-OXO-5,6-DIHYDROPHENANTHRIDIN-2-YL)GLYCINAMIDE@PYRIDOXAL#N6-METHYL-(R)-ROSCOVITINE, R-2-[6-(BENZYL-METHYL-AMINO)-9-ISOPROPYL-9H-PURIN-2-YLAMINO]-BUTAN-1-OL#PYRIDOXINE#O6-(R)-ROSCOVITINE, R-2-(6-BENZYLOXY-9-ISOPROPYL-9H-PURIN-2-YLAMINO)-BUTAN-1-OL#ADENOSINE-5'-[BETA, GAMMA-METHYLENE]TRIPHOSPHATE@2,6,8-TRIMETHYL-3-AMINO-9-BENZYL-9-METHOXYNONANOIC ACID#(2S,3S,4E,6E,8S,9S)-3-AMINO-9-METHOXY-2,6,8-TRIMETHYL-10-PHENYLDECA-4,6-DIENOIC ACID@N-[(1R)-1-(DIHYDROXYBORYL)-3-METHYLBUTYL]-N-(PYRAZIN-2-YLCARBONYL)-L-PHENYLALANINAMIDE#(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE#CARFILZOMIB#BORTEZOMIB@R-788#R788#R343#PACLITAXEL#N-(2-HYDROXY-1,1-DIMETHYLETHYL)-1-METHYL-3-(1H-PYRROLO[2,3-B]PYRIDIN-2-YL)-1H-INDOLE-5-CARBOXAMIDE#2-{[(1R,2S)-2-AMINOCYCLOHEXYL]AMINO}-4-[(3-METHYLPHENYL)AMINO]PYRIMIDINE-5-CARBOXAMIDE#STAUROSPORINE#ELLAGIC ACID#6-({5-FLUORO-2-[(3,4,5-TRIMETHOXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-2,2-DIMETHYL-2H-PYRIDO[3,2-B][1,4]OXAZIN-3(4H)-ONE#2-{2-[(3,5-DIMETHYLPHENYL)AMINO]PYRIMIDIN-4-YL}-N-[(1S)-2-HYDROXY-1-METHYLETHYL]-4-METHYL-1,3-THIAZOLE-5-CARBOXAMIDE#FOSTAMATINIB#PRT062607#ACU-XSP-001#R343#FOSTAMATINIB#SYK INHIBITOR#SYK INHIBITOR II#SYK INHIBITOR III#TAMATINIB@DV1179#ANA773#AZD-8848#HYDROXYCHLOROQUINE#IMO-3100#IMIQUIMOD#CPG 52364#IMIQUIMOD#HYDROXYCHLOROQUINE SULFATE#DOCOSANOL#ANA773#HYDROXYCHLOROQUINE#IMO-3100#ISATORIBINE#RESIQUIMOD#CPG 52364#IMIQUIMOD#IMIQUIMOD#HYDROXYCHLOROQUINE#ANA971#SCV-07#ISATORIBINE#RESIQUIMOD#IMIQUIMOD#LOXORIBINE#HYDROXYCHLOROQUINE#IMIQUIMOD@CYT-6091#ETANERCEPT#TUMOUR NECROSIS FACTOR MEMBRANE FORM#LYMPHOTOXIN-&ALPHA;@HYALURONAN	L-CITRULLINE@BUPROPION#NICOTINE@R-788#R788#R343#PACLITAXEL#N-(2-HYDROXY-1,1-DIMETHYLETHYL)-1-METHYL-3-(1H-PYRROLO[2,3-B]PYRIDIN-2-YL)-1H-INDOLE-5-CARBOXAMIDE#2-{[(1R,2S)-2-AMINOCYCLOHEXYL]AMINO}-4-[(3-METHYLPHENYL)AMINO]PYRIMIDINE-5-CARBOXAMIDE#STAUROSPORINE#ELLAGIC ACID#6-({5-FLUORO-2-[(3,4,5-TRIMETHOXYPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-2,2-DIMETHYL-2H-PYRIDO[3,2-B][1,4]OXAZIN-3(4H)-ONE#2-{2-[(3,5-DIMETHYLPHENYL)AMINO]PYRIMIDIN-4-YL}-N-[(1S)-2-HYDROXY-1-METHYLETHYL]-4-METHYL-1,3-THIAZOLE-5-CARBOXAMIDE#FOSTAMATINIB#PRT062607#ACU-XSP-001#R343#FOSTAMATINIB#SYK INHIBITOR#SYK INHIBITOR II#SYK INHIBITOR III#TAMATINIB	NA	NA	FORMIC ACID@CITRIC ACID#ASPARTATE BERYLLIUM TRIFLUORIDE@L-CITRULLINE@DYSTROPHIN#PRO044@IRON DEXTRAN@L-GLUTAMIC ACID#(1<I>S</I>,3<I>R</I>)-ACPD#L-GLUTAMIC ACID#D-AP4#L-CCG-I#L-AP4#MPPG#LY341495#L-SERINE-O-PHOSPHATE#DCG-IV#AZ12216052#[<SUP>3</SUP>H]AP4#(<I>S</I>)-3,4-DCPG#EGLUMEGAD#(<I>R,S</I>)-4-PPG@CYT-6091#ETANERCEPT#TUMOUR NECROSIS FACTOR MEMBRANE FORM#LYMPHOTOXIN-&ALPHA;	FORMIC ACID@N-[O-PHOSPHONO-PYRIDOXYL]-ISOLEUCINE#ALPHA-KETOISOVALERATE#L-LEUCINE#L-GLUTAMIC ACID@GDC-0152#AZD5582#AT-406#SM-337#LCL161#GDC0917#AT-406#TL 32711#AEG40826#HGS1029@CONATUMUMAB#EMRICASAN#Z-IETD-FMK@MDX-1105#MPDL3280A#MDX-1105#MPDL3280A#RG7446@BUPROPION#NICOTINE@IRON DEXTRAN@L-GLUTAMIC ACID#(1<I>S</I>,3<I>R</I>)-ACPD#L-GLUTAMIC ACID#D-AP4#L-CCG-I#L-AP4#MPPG#LY341495#L-SERINE-O-PHOSPHATE#DCG-IV#AZ12216052#[<SUP>3</SUP>H]AP4#(<I>S</I>)-3,4-DCPG#EGLUMEGAD#(<I>R,S</I>)-4-PPG@PEG-INTERFERON LAMBA#IFN-&LAMBDA;3#IFN-&LAMBDA;2#IFN-&LAMBDA;1@RILUZOLE@PF-00547659@NADH#2-MONOPHOSPHOADENOSINE 5-DIPHOSPHORIBOSE@PSEUDOEPHEDRINE@N~2~,N~2~-DIMETHYL-N~1~-(6-OXO-5,6-DIHYDROPHENANTHRIDIN-2-YL)GLYCINAMIDE@N-[(1R)-1-(DIHYDROXYBORYL)-3-METHYLBUTYL]-N-(PYRAZIN-2-YLCARBONYL)-L-PHENYLALANINAMIDE#(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE#CARFILZOMIB#BORTEZOMIB@ISIS 113715#TRODUSQUEMINE#TILUDRONATE#1,2,5-THIADIAZOLIDIN-3-ONE-1,1-DIOXIDE#5-(3-{3-[3-HYDROXY-2-(METHOXYCARBONYL)PHENOXY]PROPENYL}PHENYL)-4-(HYDROXYMETHYL)ISOXAZOLE-3-CARBOXYLIC ACID#4-[3-(DIBENZYLAMINO)PHENYL]-2,4-DIOXOBUTANOIC ACID#5-(3-HYDROXYPHENYL)ISOTHIAZOL-3(2H)-ONE 1,1-DIOXIDE#N-ACETYL-L-PHENYLALANYL-4-[DIFLUORO(PHOSPHONO)METHYL]-L-PHENYLALANINAMIDE#ISOTHIAZOLIDINONE ANALOG#COMPOUND 12, N-ACETYL-4-[(CARBOXYCARBONYL)(2-CARBOXYPHENYL)AMINO]-N-PENTYL-1-NAPTHYLALANIAMIDE#DOUBLE OXIDIZED CYSTEINE#TILUDRONATE#6-(DIFLUORO-PHOSPHONO-METHYL)-NAPHTHALENE-2-CARBOXYLIC ACID#PARA-(BENZOYL)-PHENYLALANINE#COMPOUND 9#(3R)-METHYLCARBAMOYL-7-SULFOAMINO-3,4-DIHYDRO-1H-ISOQUINOLINE-2-CARBOXYLIC ACID BENZYL ESTER#5-(4-METHOXYBIPHENYL-3-YL)-1,2,5-THIADIAZOLIDIN-3-ONE 1,1-DIOXIDE#2-(OXALYL-AMINO)-4,7-DIHYDRO-5H-THIENO[2,3-C]THIOPYRAN-3-CARBOXYLIC ACID#3(R)-METHYLCARBAMOYL-7-SULFOAMINO-3,4-DIHYDRO-1H-ISOQUINOLINE-2-CARBOXYLIC ACID TERT-BUTYL ESTER#(4-{(2S)-2-[(TERT-BUTOXYCARBONYL)AMINO]-3-METHOXY-3-OXOPROPYL}PHENYL)METHANESELENINIC ACID#3-(3,5-DIBROMO-4-HYDROXY-BENZOYL)-2-ETHYL-BENZOFURAN-6-SULFONIC ACID (4-SULFAMOYL-PHENYL)-AMIDE#4-PHOSPHONOOXY-PHENYL-METHYL-[4-PHOSPHONOOXY]BENZEN#3-(OXALYL-AMINO)-NAPHTHALENE-2-CARBOXYLIC ACID#[[4-(AMINOMETHYL)PHENYL]AMINO]OXO-ACETIC ACID,#2-{4-[(2S)-2-[({[(1S)-1-CARBOXY-2-PHENYLETHYL]AMINO}CARBONYL)AMINO]-3-OXO-3-(PENTYLAMINO)PROPYL]PHENOXY}MALONIC ACID#COMPOUND 19#SP7343-SP7964#2-(OXALYL-AMINO)-BENZOIC ACID#{[2-(1H-1,2,3-BENZOTRIAZOL-1-YL)-2-(3,4-DIFLUOROPHENYL)PROPANE-1,3-DIYL]BIS[4,1-PHENYLENE(DIFLUOROMETHYLENE)]}BIS(PHOSPHONIC ACID)#NOVO NORDISK A/S COMPOUND#N-[4-(2-{2-[3-(2-BROMO-ACETYLAMINO)-PROPIONYLAMINO]-3-HYDROXY-PROPIONYLAMINO}-ETHYL)-PHENYL]-OXALAMIC ACID#3-(3,5-DIBROMO-4-HYDROXY-BENZOYL)-2-ETHYL-BENZOFURAN-6-SULFONIC ACID [4-(THIAZOL-2-YLSULFAMOYL)-PHENYL]-AMIDE#7-(1,1-DIOXO-1H-BENZO[D]ISOTHIAZOL-3-YLOXYMETHYL)-2-(OXALYL-AMINO)-4,7-DIHYDRO-5H-THIENO[2,3-C]PYRAN-3-CARBOXYLIC ACID#5-(4-CHLORO-5-PHENYL-3-THIENYL)-1,2,5-THIADIAZOLIDIN-3-ONE 1,1-DIOXIDE#4-CARBAMOYL-4-{[6-(DIFLUORO-PHOSPHONO-METHYL)-NAPHTHALENE-2-CARBONYL]-AMINO}-BUTYRIC ACID#N-{1-[5-(1-CARBAMOYL-2-MERCAPTO-ETHYLCARBAMOYL)-PENTYLCARBAMOYL]-2-[4-(DIFLUORO-PHOSPHONO-METHYL)-PHENYL]-ETHYL}-3-{2-[4-(DIFLUORO-PHOSPHONO-METHYL)-PHENYL]-ACETYLAMINO}-SUCCINAMIC ACID#{4-[(2S,4E)-2-(1,3-BENZOTHIAZOL-2-YL)-2-(1H-1,2,3-BENZOTRIAZOL-1-YL)-5-PHENYLPENT-4-ENYL]PHENYL}(DIFLUORO)METHYLPHOSPHONIC ACID#4-BENZOYLAMINO-4-{1-{1-CARBAMOYL-2-[4-(DIFLUORO-PHOSPHONO-METHYL)-PHENYL]-ETHYLCARBAMOYL}-2-[4-(DIFLUORO-PHOSPHONO-METHYL)-PHENYL]-ETHYLCARBAMOYL}-BUTYRIC ACID#PNU177836#2-(OXALYL-AMINO)-4,7-DIHYDRO-5H-THIENO[2,3-C]PYRAN-3-CARBOXYLIC ACID#{[7-(DIFLUORO-PHOSPHONO-METHYL)-NAPHTHALEN-2-YL]-DIFLUORO-METHYL}-PHOSPHONIC ACID#[(4-{4-[4-(DIFLUORO-PHOSPHONO-METHYL)-PHENYL]-BUTYL}-PHENYL)-DIFLUORO-METHYL]-PHOSPHONIC ACID#ISIS 113715#3-(CARBOXYMETHOXY)THIENO[2,3-B]PYRIDINE-2-CARBOXYLIC ACID#4-BROMO-3-(CARBOXYMETHOXY)-5-[3-(CYCLOHEXYLAMINO)PHENYL]THIOPHENE-2-CARBOXYLIC ACID#[{2-BROMO-4-[(2R)-3-OXO-2,3-DIPHENYLPROPYL]PHENYL}(DIFLUORO)METHYL]PHOSPHONIC ACID#3(S)-METHYLCARBAMOYL-7-SULFOAMINO-3,4-DIHYDRO-1H-ISOQUINOLINE-2-CARBOXYLIC ACID TERT-BUTYL ESTER#5-[3-(BENZYLAMINO)PHENYL]-4-BROMO-3-(CARBOXYMETHOXY)THIOPHENE-2-CARBOXYLIC ACID#2-[(7-HYDROXY-NAPHTHALEN-1-YL)-OXALYL-AMINO]-BENZOIC ACID#4-BROMO-3-(CARBOXYMETHOXY)-5-PHENYLTHIOPHENE-2-CARBOXYLIC ACID#4-BROMO-3-(CARBOXYMETHOXY)-5-(4-HYDROXYPHENYL)THIOPHENE-2-CARBOXYLIC ACID#3-(3,5-DIBROMO-4-HYDROXY-BENZOYL)-2-ETHYL-BENZOFURAN-6-SULFONIC ACID DIMETHYLAMIDE#CYSTEINESULFONIC ACID#2-(OXALYL-AMINO)-4,5,6,7-TETRAHYDRO-THIENO[2,3-C]PYRIDINE-3-CARBOXYLIC ACID#N-(ALLYLOXYCARBONYL)-4-[N-(CARBOXY-FORMYL)-2-(BENZOIC ACID)-AMINO]-L-PHENYLALANINYL-AMINO-BUTYLOXY-(6-HYDROXY-BENZOIC ACID METHYL ESTER)#COMPOUND 5, 2-(NAPHTHALEN-1-YL-OXALYL-AMINO)-BENZOICACID#6-(OXALYL-AMINO)-1H-INDOLE-5-CARBOXYLIC ACID#2-(CARBOXYMETHOXY)-5-[(2S)-2-({(2S)-2-[(3-CARBOXYPROPANOYL)AMINO] -3-PHENYLPROPANOYL}AMINO)-3-OXO-3-(PENTYLAMINO)PROPYL]BENZOIC ACID#1-METHYL-3-PHENYL-1H-PYRAZOL-5-YLSULFAMIC ACID#TILUDRONATE#ISIS 113715#ISIS-PTP1B	BUPROPION#NICOTINE@IRON DEXTRAN
